SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
ECEN-350,9,6,1,0,0,16,3.5,0,0,0,0,0,16,GRATZ P
ECEN-350,7,8,1,0,0,16,3.375,0,0,0,0,0,16,GRATZ P
ECEN-350,7,7,2,0,0,16,3.312,0,0,0,0,0,16,LU M
ECEN-350,0,5,3,2,2,12,1.916,0,0,0,1,1,14,LU M
ECEN-350,1,8,4,0,0,13,2.769,0,0,0,3,0,16,LU M
ECEN-350,3,5,7,0,1,16,2.562,0,0,0,0,0,16,LU M
ECEN-350,5,7,3,0,0,15,3.133,0,0,0,1,0,16,LU M
ECEN-350,4,4,5,2,1,16,2.5,0,0,0,0,0,16,LU M
ECEN-370,20,48,3,0,0,71,3.239,0,0,0,0,0,71,LIN P
ECEN-370,21,34,21,2,1,79,2.911,0,0,0,1,0,80,ZOU J
ECEN-403,4,6,1,0,0,11,3.272,0,0,0,0,0,11,KALAFATIS S
ECEN-403,7,3,1,0,0,11,3.545,0,0,0,0,0,11,KALAFATIS S
ECEN-403,5,17,4,1,0,27,2.962,0,0,0,0,0,27,LUSHER J
ECEN-403,16,10,3,0,0,29,3.448,0,0,0,0,0,29,LUSHER J
ECEN-403,4,20,3,1,0,28,2.964,0,0,0,2,0,30,LUSHER J
ECEN-403,10,17,3,0,0,30,3.233,0,0,0,1,0,31,LUSHER J
ECEN-403,10,8,1,0,1,20,3.3,0,0,0,1,0,21,LUSHER J
ECEN-403,10,14,4,0,0,28,3.214,0,0,0,1,0,29,LUSHER J
ECEN-403,9,0,1,0,0,10,3.8,0,0,0,0,0,10,KALAFATIS S
ECEN-403,7,2,1,0,1,11,3.272,0,0,0,1,0,12,KALAFATIS S
ECEN-404,4,2,0,0,0,6,3.666,0,0,0,0,0,6,JANG W
ECEN-404,7,6,0,0,0,13,3.538,0,0,0,0,0,13,JANG W
ECEN-404,17,14,0,0,0,31,3.548,0,0,0,0,0,31,JANG W
ECEN-404,6,2,3,1,1,13,2.846,0,0,0,0,0,13,JANG W
ECEN-404,12,16,1,0,0,29,3.379,0,0,0,0,0,29,JANG W
ECEN-404,12,17,1,0,0,30,3.366,0,0,0,0,0,30,JANG W
ECEN-414,5,1,0,0,0,6,3.833,0,0,0,0,0,6,HAN A
ECEN-414,3,2,0,0,0,5,3.6,0,0,0,0,0,5,HAN A
ECEN-414,5,1,0,0,0,6,3.833,0,0,0,0,0,6,HAN A
ECEN-414,6,1,0,0,0,7,3.857,0,0,0,0,0,7,HAN A
ECEN-415,19,14,5,0,0,38,3.368,0,0,0,0,0,38,LEE K
ECEN-419,5,7,3,2,0,17,2.882,0,0,0,1,0,18,DATTA A
ECEN-420,9,0,0,0,0,9,4,0,0,0,0,0,9,BHATTACHARYYA S
ECEN-420,37,30,7,0,1,75,3.36,0,0,0,4,0,79,BHATTACHARYYA S
ECEN-420,24,5,1,0,0,30,3.766,0,0,0,0,0,30,BHATTACHARYYA S
ECEN-424,22,15,8,1,2,48,3.125,0,0,0,4,0,52,HOU I
ECEN-426,41,5,1,1,1,49,3.714,0,0,0,0,0,49,RAJENDRAN J
ECEN-426,18,4,0,1,0,23,3.695,0,0,0,2,0,25,RAJENDRAN J
ECEN-442,4,1,1,0,0,6,3.5,0,0,0,0,0,6,TOLIYAT H
ECEN-442,6,1,1,0,0,8,3.625,0,0,0,1,0,9,TOLIYAT H
ECEN-442,1,5,3,0,0,9,2.777,0,0,0,0,0,9,TOLIYAT H
ECEN-442,7,3,0,0,0,10,3.7,0,0,0,0,0,10,TOLIYAT H
ECEN-442,5,3,1,0,0,9,3.444,0,0,0,0,0,9,TOLIYAT H
ECEN-442,5,5,0,0,0,10,3.5,0,0,0,0,0,10,TOLIYAT H
ECEN-444,12,10,1,2,0,25,3.28,0,0,0,3,0,28,XIONG Z
ECEN-444,0,5,3,0,0,8,2.625,0,0,0,2,0,10,XIONG Z
ECEN-445,8,9,4,0,0,21,3.19,0,0,0,2,1,24,NEVELS R
ECEN-446,9,12,6,0,0,27,3.111,0,0,0,3,0,30,TIAN C
ECEN-447,13,13,14,0,0,40,2.975,0,0,0,0,0,40,RIGHETTI R
ECEN-449,6,1,0,0,0,7,3.857,0,0,0,2,0,9,CANTRELL P
ECEN-449,9,0,0,0,0,9,4,0,0,0,0,0,9,CANTRELL P
ECEN-449,7,0,0,1,1,9,3.222,0,0,0,3,0,12,CANTRELL P
ECEN-449,7,3,0,1,0,11,3.454,0,0,0,1,0,12,CANTRELL P
ECEN-449,11,1,0,0,0,12,3.916,0,0,0,0,0,12,CANTRELL P
ECEN-449,8,4,0,0,0,12,3.666,0,0,0,0,0,12,CANTRELL P
ECEN-451,10,11,8,0,1,30,2.966,0,0,0,3,0,33,WRIGHT S
ECEN-453,31,11,7,2,2,53,3.264,0,0,0,1,23,77,KATEHI-TSEREGOUNIS
ECEN-454,5,4,2,0,0,11,3.272,0,0,0,0,0,11,CHOI S
ECEN-454,2,6,3,0,0,11,2.909,0,0,0,1,0,12,CHOI S
ECEN-454,3,7,2,0,0,12,3.083,0,0,0,0,0,12,CHOI S
ECEN-454,6,4,1,0,0,11,3.454,0,0,0,1,0,12,CHOI S
ECEN-454,4,3,1,0,0,8,3.375,0,0,0,3,0,11,CHOI S
ECEN-454,5,3,4,0,0,12,3.083,0,0,0,0,0,12,CHOI S
ECEN-454,6,4,2,0,0,12,3.333,0,0,0,0,0,12,CHOI S
ECEN-454,8,3,0,0,0,11,3.727,0,0,0,0,0,11,CHOI S
ECEN-454,2,5,2,0,0,9,3,0,0,0,0,0,9,CHOI S
ECEN-454,5,2,1,0,1,9,3.111,0,0,0,1,0,10,CHOI S
ECEN-454,8,2,2,0,0,12,3.5,0,0,0,0,0,12,CHOI S
ECEN-454,9,1,1,0,0,11,3.727,0,0,0,0,0,11,CHOI S
ECEN-457,5,5,2,0,0,12,3.25,0,0,0,1,0,13,MOREIRA-TAMAYO O
ECEN-457,7,7,0,1,0,15,3.333,0,0,0,0,0,15,MOREIRA-TAMAYO O
ECEN-459,6,4,3,0,0,13,3.23,0,0,0,0,0,13,JANG W
ECEN-459,7,4,1,0,0,12,3.5,0,0,0,1,0,13,JANG W
ECEN-459,6,4,2,1,0,13,3.153,0,0,0,0,0,13,JANG W
ECEN-459,6,3,3,1,0,13,3.076,0,0,0,0,0,13,JANG W
ECEN-459,3,2,4,2,0,11,2.545,0,0,0,2,0,13,JANG W
ECEN-459,7,3,2,0,1,13,3.153,0,0,0,0,0,13,JANG W
ECEN-464,8,15,5,1,0,29,3.034,0,0,0,1,0,30,MADSEN C
ECEN-465,6,1,0,0,0,7,3.857,0,0,0,0,0,7,HEMMER P
ECEN-466,25,6,0,0,0,31,3.806,0,0,0,0,0,31,KISH L
ECEN-470,3,6,7,2,0,18,2.555,0,0,0,0,1,19,RENTZEPIS P
ECEN-475,7,1,0,0,0,8,3.875,0,0,0,0,0,8,CHOI S
ECEN-475,7,4,0,0,0,11,3.636,0,0,0,0,0,11,CHOI S
ECEN-477,1,4,0,0,0,5,3.2,0,0,0,0,0,5,MADSEN C
ECEN-477,1,3,1,0,0,5,3,0,0,0,0,0,5,MADSEN C
ECEN-489,3,8,3,0,1,15,2.8,0,0,0,0,0,15,SILVA-MARTINEZ J
ECEN-489,3,7,0,0,0,10,3.3,0,0,0,3,0,13,SILVA-MARTINEZ J
ECEN-600,9,0,0,0,0,9,4,0,0,0,0,0,9,HEMMER P
ECEN-601,10,17,2,0,1,30,3.166,1,0,0,2,0,33,TIAN C
ECEN-605,9,2,0,0,0,11,3.818,0,0,0,2,0,13,BHATTACHARYYA S
ECEN-613,13,6,0,0,0,19,3.684,0,0,0,0,0,19,ENJETI P
ECEN-613,5,7,0,0,0,12,3.416,0,0,0,1,0,13,ENJETI P
ECEN-615,15,5,0,0,0,20,3.75,0,0,0,0,0,20,OVERBYE T
ECEN-616,22,2,1,0,0,25,3.84,0,0,0,0,0,25,BIRCHFIELD A
ECEN-620,9,17,0,0,0,26,3.346,0,0,0,0,0,26,PALERMO S
ECEN-620,3,1,0,0,1,5,3,0,0,0,2,0,7,PALERMO S
ECEN-621,64,7,0,0,0,71,3.901,0,0,0,0,0,71,ZHANG X
ECEN-636,5,4,0,0,0,9,3.555,0,0,0,1,0,10,WRIGHT S
ECEN-646,3,4,0,0,0,7,3.428,0,0,0,0,0,7,SAVARI S
ECEN-649,28,13,2,0,1,44,3.522,0,0,0,0,0,44,BRAGA NETO U
ECEN-651,7,9,3,1,0,20,3.1,0,0,0,0,0,20,LU M
ECEN-651,6,12,1,0,0,19,3.263,0,0,0,0,0,19,LU M
ECEN-658,35,7,1,0,0,43,3.79,0,0,0,0,0,43,KISH L
ECEN-665,5,1,0,0,0,6,3.833,0,0,0,0,0,6,ENTESARI K
ECEN-665,4,2,0,0,0,6,3.666,0,0,0,0,0,6,ENTESARI K
ECEN-669,3,3,0,0,1,7,3,0,0,0,0,0,7,DATTA A
ECEN-686,27,0,0,0,0,27,4,0,0,0,0,0,27,EHSANI M
ECEN-689,23,4,0,0,0,27,3.851,0,0,0,0,0,27,KHATRI S
ECEN-689,10,2,0,0,0,12,3.833,0,0,0,0,0,12,HOU I
ECEN-704,5,7,2,0,0,14,3.214,1,0,0,0,0,15,KARSILAYAN A
ECEN-704,6,8,2,1,0,17,3.117,0,0,0,1,0,18,KARSILAYAN A
ECEN-704,5,6,3,0,0,14,3.142,1,0,0,0,0,15,KARSILAYAN A
ECEN-714,6,0,0,0,0,6,4,0,0,0,0,0,6,CHOI S
ECEN-714,5,0,0,0,0,5,4,0,0,0,0,0,5,CHOI S
ECEN-714,4,1,0,0,0,5,3.8,0,0,0,0,0,5,CHOI S
ECEN-714,6,0,0,0,0,6,4,0,0,0,0,0,6,CHOI S
ECEN-714,7,0,0,0,0,7,4,0,0,0,0,0,7,CHOI S
ECEN-714,5,1,0,0,0,6,3.833,0,0,0,0,0,6,CHOI S
ECEN-715,9,0,0,0,0,9,4,0,0,0,0,0,9,LEE K
ECEN-749,7,0,0,0,0,7,4,0,0,0,0,0,7,CANTRELL P
ECEN-755,28,0,0,0,0,28,4,0,0,0,0,0,28,KUMAR P
ECEN-756,22,2,0,0,0,24,3.916,0,0,0,1,0,25,SHAKKOTTAI S
ECEN-758,50,6,0,0,0,56,3.892,0,0,0,0,0,56,DUFFIELD N
ECEN-758,29,2,1,0,0,32,3.875,0,0,0,0,0,32,DUFFIELD N
ECEN-772,13,3,0,0,0,16,3.812,0,0,0,0,0,16,ZOU J
ECEN-776,12,1,0,0,0,13,3.923,0,0,0,0,0,13,KISH L
ENTC-629,17,2,1,1,0,21,3.666,0,0,0,0,0,21,LORANGER L
ENTC-644,9,4,0,0,0,13,3.692,0,0,0,0,0,13,HUR B
ENTC-652,18,5,0,0,0,23,3.782,0,0,0,0,0,23,WANG J
ESET-210,8,8,0,2,1,19,3.052,0,0,0,2,0,21,FINK R
ESET-210,5,11,2,1,1,20,2.9,0,0,0,0,0,20,FINK R
ESET-210,8,7,3,0,0,18,3.277,0,0,0,0,0,18,FINK R
ESET-210,7,8,3,2,0,20,3,0,0,0,0,0,20,FINK R
ESET-210,3,6,3,2,3,17,2.235,0,0,0,0,0,17,FINK R
ESET-210,6,6,3,2,0,17,2.941,0,0,0,0,0,17,FINK R
ESET-210,8,7,3,1,0,19,3.157,0,0,0,0,0,19,FINK R
ESET-210,6,8,3,1,1,19,2.894,0,0,0,1,0,20,FINK R
ESET-210,7,5,4,2,1,19,2.789,0,0,0,1,0,20,FINK R
ESET-210,3,2,0,0,0,5,3.6,0,0,0,0,0,5,FOX R
ESET-211,6,8,3,0,0,17,3.176,0,0,0,0,0,17,HUDSON L
ESET-211,4,8,2,0,0,14,3.142,0,0,0,0,0,14,HUDSON L
ESET-211,6,9,2,0,0,17,3.235,0,0,0,0,0,17,HUDSON L
ESET-219,8,5,4,1,0,18,3.111,0,0,0,0,0,18,PORTER L
ESET-219,8,2,3,1,0,14,3.214,0,0,0,2,0,16,PORTER L
ESET-219,10,6,0,0,0,16,3.625,0,0,0,0,0,16,PORTER L
ESET-219,8,5,2,1,1,17,3.058,0,0,0,0,0,17,PORTER L
ESET-219,6,4,4,1,1,16,2.812,0,0,0,0,0,16,PORTER L
ESET-219,4,8,5,1,1,19,2.684,0,0,0,0,0,19,PORTER L
ESET-219,9,5,4,0,0,18,3.277,0,0,0,0,0,18,PORTER L
ESET-219,6,10,1,1,0,18,3.166,1,0,0,2,0,21,PORTER L
ESET-219,8,7,2,0,0,17,3.352,0,0,0,0,0,17,PORTER L
ESET-219,5,5,2,0,3,15,2.6,0,0,0,3,0,18,PORTER L
ESET-219,3,2,0,0,0,5,3.6,0,0,0,0,0,5,DIAZ RODRIGUEZ I
ESET-269,7,8,3,0,0,18,3.222,0,0,0,0,0,18,KARIM M
ESET-269,9,8,1,0,0,18,3.444,0,0,0,0,0,18,KARIM M
ESET-269,3,11,1,2,0,17,2.882,0,0,0,0,0,17,KARIM M
ESET-269,7,9,1,1,0,18,3.222,0,0,0,0,0,18,KARIM M
ESET-269,6,3,3,2,1,15,2.733,0,0,0,0,0,15,PORTER L
ESET-269,10,4,3,1,0,18,3.277,0,0,0,0,0,18,PORTER L
ESET-269,8,4,5,1,1,19,2.894,0,0,0,0,0,19,PORTER L
ESET-269,9,3,2,2,2,18,2.833,0,0,0,1,0,19,PORTER L
ESET-300,12,1,1,0,0,14,3.785,0,0,0,1,0,15,WALLACE J
ESET-300,9,7,1,0,0,17,3.47,0,0,0,0,0,17,WALLACE J
ESET-300,10,5,0,0,0,15,3.666,0,0,0,0,0,15,WALLACE J
ESET-300,5,9,2,0,0,16,3.187,0,0,0,0,0,16,WALLACE J
ESET-300,11,3,1,0,0,15,3.666,0,0,0,0,0,15,WALLACE J
ESET-300,8,5,2,0,0,15,3.4,0,0,0,0,0,15,WALLACE J
ESET-300,12,3,0,0,0,15,3.8,0,0,0,0,0,15,WALLACE J
ESET-300,8,6,2,0,0,16,3.375,0,0,0,0,0,16,WALLACE J
ESET-300,5,7,3,0,0,15,3.133,0,0,0,0,0,15,WALLACE J
ESET-300,7,8,1,0,0,16,3.375,0,0,0,0,0,16,WALLACE J
ESET-300,6,10,2,0,0,18,3.222,0,0,0,0,0,18,WALLACE J
ESET-300,9,7,0,0,0,16,3.562,0,0,0,0,0,16,WALLACE J
ESET-315,4,3,7,1,0,15,2.666,0,0,0,2,0,17,GOULART A
ESET-315,4,9,3,0,0,16,3.062,0,0,0,0,0,16,GOULART A
ESET-315,1,11,5,1,0,18,2.666,0,0,0,0,0,18,GOULART A
ESET-315,5,10,3,0,0,18,3.111,0,0,0,0,0,18,GOULART A
ESET-315,4,6,4,0,0,14,3,0,0,0,0,0,14,GOULART A
ESET-319,13,3,0,0,0,16,3.812,0,0,0,1,0,17,AUCOIN B
ESET-319,14,2,0,1,0,17,3.705,0,0,0,1,0,18,AUCOIN B
ESET-319,10,4,0,0,0,14,3.714,0,0,0,0,0,14,AUCOIN B
ESET-319,12,4,1,0,0,17,3.647,0,0,0,0,0,17,AUCOIN B
ESET-319,11,4,1,0,0,16,3.625,0,0,0,0,0,16,AUCOIN B
ESET-329,9,5,3,1,0,18,3.222,0,0,0,0,0,18,ZHAN W
ESET-329,3,9,2,0,0,14,3.071,0,0,0,2,0,16,ZHAN W
ESET-329,5,9,1,0,0,15,3.266,0,0,0,0,0,15,ZHAN W
ESET-329,5,1,1,0,0,7,3.571,0,0,0,0,0,7,ZHAN W
ESET-333,13,5,0,0,0,18,3.722,0,0,0,0,0,18,LEONARD M
ESET-333,17,1,0,0,0,18,3.944,0,0,0,0,0,18,LEONARD M
ESET-333,16,1,0,0,0,17,3.941,0,0,0,0,0,17,LEONARD M
ESET-333,8,9,0,0,0,17,3.47,0,0,0,0,0,17,LEONARD M
ESET-333,8,9,0,0,0,17,3.47,0,0,0,0,0,17,LEONARD M
ESET-349,4,6,2,0,0,12,3.166,0,0,0,0,0,12,KARIM M
ESET-349,3,4,5,0,0,12,2.833,0,0,0,0,0,12,KARIM M
ESET-349,3,3,2,1,0,9,2.888,0,0,0,0,0,9,KARIM M
ESET-349,1,6,2,1,0,10,2.7,0,0,0,0,0,10,KARIM M
ESET-349,1,5,3,1,1,11,2.363,0,0,0,0,0,11,KARIM M
ESET-349,2,7,2,0,0,11,3,0,0,0,0,0,11,KARIM M
ESET-349,3,7,1,0,0,11,3.181,0,0,0,0,0,11,KARIM M
ESET-349,5,3,2,0,0,10,3.3,0,0,0,0,0,10,KARIM M
ESET-350,1,3,1,2,1,8,2.125,0,0,0,1,0,9,BOSSHARD J
ESET-350,3,6,3,1,0,13,2.846,0,0,0,2,0,15,BOSSHARD J
ESET-350,5,7,4,0,0,16,3.062,0,0,0,1,0,17,BOSSHARD J
ESET-350,2,7,6,0,0,15,2.733,0,0,0,1,0,16,BOSSHARD J
ESET-350,3,4,5,2,0,14,2.571,0,0,0,1,0,15,BOSSHARD J
ESET-350,2,9,4,0,0,15,2.866,0,0,0,0,0,15,BOSSHARD J
ESET-350,2,7,1,2,0,12,2.75,0,0,0,0,0,12,BOSSHARD J
ESET-350,4,4,5,0,0,13,2.923,0,0,0,0,0,13,BOSSHARD J
ESET-350,3,3,3,0,0,9,3,1,0,0,1,0,11,BOSSHARD J
ESET-352,4,4,2,1,0,11,3,0,0,0,0,0,11,FINK R
ESET-352,7,5,5,0,0,17,3.117,0,0,0,0,0,17,FINK R
ESET-352,5,6,5,0,0,16,3,0,0,0,0,0,16,FINK R
ESET-352,4,4,8,0,0,16,2.75,0,0,0,0,0,16,FINK R
ESET-352,8,0,2,0,0,10,3.6,0,0,0,0,0,10,FINK R
ESET-355,3,3,6,2,0,14,2.5,0,0,0,0,0,14,BOSSHARD J
ESET-355,3,4,3,1,0,11,2.818,0,0,0,1,0,12,BOSSHARD J
ESET-355,3,6,4,1,0,14,2.785,0,0,0,0,0,14,BOSSHARD J
ESET-355,3,5,2,0,0,10,3.1,0,0,0,1,0,11,BOSSHARD J
ESET-355,1,8,4,1,0,14,2.642,0,0,0,0,0,14,BOSSHARD J
ESET-355,4,1,5,0,0,10,2.9,0,0,0,1,0,11,BOSSHARD J
ESET-359,6,6,2,0,0,14,3.285,0,0,0,0,0,14,MANOHARAN S
ESET-359,2,10,3,0,0,15,2.933,0,0,0,0,0,15,MANOHARAN S
ESET-359,6,7,1,0,0,14,3.357,0,0,0,0,0,14,MANOHARAN S
ESET-359,4,5,5,0,0,14,2.928,0,0,0,0,0,14,MANOHARAN S
ESET-359,4,5,2,0,0,11,3.181,0,0,0,0,0,11,MANOHARAN S
ESET-359,5,4,3,0,0,12,3.166,0,0,0,0,0,12,MANOHARAN S
ESET-359,7,6,0,0,0,13,3.538,0,0,0,0,0,13,MANOHARAN S
ESET-359,3,5,3,0,0,11,3,0,0,0,0,0,11,MANOHARAN S
ESET-359,4,3,2,0,0,9,3.222,0,0,0,0,0,9,MANOHARAN S
ESET-369,3,4,7,0,0,14,2.714,0,0,0,0,0,14,HUR B
ESET-369,1,5,1,2,0,9,2.555,0,0,0,0,0,9,HUR B
ESET-369,1,12,2,0,0,15,2.933,0,0,0,0,0,15,HUR B
ESET-369,1,3,8,2,0,14,2.214,0,0,0,0,0,14,HUR B
ESET-369,1,7,6,1,0,15,2.533,0,0,0,0,0,15,HUR B
ESET-369,1,7,4,1,0,13,2.615,0,0,0,0,0,13,HUR B
ESET-369,1,10,2,0,0,13,2.923,0,0,0,0,0,13,HUR B
ESET-369,2,8,3,0,0,13,2.923,0,0,0,0,0,13,HUR B
ESET-400,0,7,0,1,0,8,2.75,0,0,0,0,0,8,AOUFI R
ESET-400,0,2,3,0,0,5,2.4,0,0,0,0,0,5,AOUFI R
ESET-400,7,4,0,0,0,11,3.636,0,0,0,0,0,11,AOUFI R
ESET-400,3,6,0,0,0,9,3.333,0,0,0,1,0,10,AOUFI R
ESET-400,5,7,1,0,0,13,3.307,0,0,0,0,0,13,AOUFI R
ESET-400,6,7,0,0,0,13,3.461,0,0,0,0,0,13,AOUFI R
ESET-400,3,5,4,0,0,12,2.916,0,0,0,1,0,13,AOUFI R
ESET-400,3,9,1,0,0,13,3.153,0,0,0,0,0,13,AOUFI R
ESET-400,6,9,2,0,0,17,3.235,0,0,0,0,0,17,AOUFI R
ESET-400,6,10,1,0,0,17,3.294,0,0,0,0,0,17,AOUFI R
ESET-400,10,6,0,0,0,16,3.625,0,0,0,0,0,16,AOUFI R
ESET-400,5,8,2,0,0,15,3.2,0,0,0,1,0,16,AOUFI R
ESET-415,3,4,1,0,0,8,3.25,1,0,0,0,0,9,GOULART A
ESET-415,1,5,2,0,0,8,2.875,0,0,0,0,0,8,GOULART A
ESET-415,0,6,2,0,0,8,2.75,0,0,0,0,0,8,GOULART A
ESET-415,3,6,6,1,0,16,2.687,0,0,0,0,0,16,GOULART A
ESET-415,3,1,3,0,0,7,3,0,0,0,1,0,8,GOULART A
ESET-419,34,18,1,0,0,53,3.622,0,0,0,0,0,53,CROSBY G
ESET-419,13,28,13,0,0,54,3,0,0,0,0,0,54,SMITH C
ESET-419,5,0,0,0,0,5,4,0,0,0,0,0,5,LOPEZ O
ESET-420,5,6,5,0,0,16,3,0,0,0,0,0,16,HUDSON L
ESET-420,9,15,0,0,0,24,3.375,0,0,0,0,0,24,WILLEY H
ESET-420,18,4,0,0,0,22,3.818,0,0,0,0,0,22,HUDSON L
ESET-420,8,9,0,0,0,17,3.47,0,0,0,0,0,17,WILLEY H
ESET-420,18,1,0,0,0,19,3.947,0,0,0,0,0,19,WILLEY H
ESET-420,9,4,3,0,0,16,3.375,0,0,0,0,0,16,HUDSON L
ESET-444,3,11,0,0,0,14,3.214,0,0,0,0,0,14,YAGUA C
ESET-444,12,1,0,0,0,13,3.923,0,0,0,0,0,13,YAGUA C
ESET-444,10,2,0,0,0,12,3.833,0,0,0,0,0,12,YAGUA C
ESET-453,2,3,0,0,0,5,3.4,0,0,0,0,0,5,MUNNS T
ESET-453,4,2,0,0,0,6,3.666,0,0,0,0,0,6,MUNNS T
ESET-455,14,2,0,0,0,16,3.875,0,0,0,0,0,16,DECKER L
ESET-455,9,4,3,0,0,16,3.375,0,0,0,0,0,16,DECKER L
ESET-455,11,2,3,0,0,16,3.5,0,0,0,0,0,16,DECKER L
ESET-455,8,5,1,1,0,15,3.333,0,0,0,0,0,15,DECKER L
ESET-455,6,5,2,0,0,13,3.307,0,0,0,0,0,13,DECKER L
ESET-462,7,9,2,0,0,18,3.277,0,0,0,0,0,18,ZHAN W
ESET-462,1,3,10,1,0,15,2.266,0,0,0,0,0,15,ZHAN W
ESET-462,6,4,4,0,0,14,3.142,0,0,0,0,0,14,ZHAN W
ESET-462,7,4,5,1,0,17,3,0,0,0,0,0,17,ZHAN W
ESET-462,6,8,0,0,0,14,3.428,0,0,0,0,0,14,ZHAN W
ESET-462,9,1,2,0,0,12,3.583,0,0,0,1,0,13,GODAGE I
ESET-462,5,4,5,0,0,14,3,0,0,0,1,0,15,GODAGE I
ESET-462,6,6,3,0,0,15,3.2,0,0,0,0,0,15,GODAGE I
ESET-462,5,6,4,0,0,15,3.066,0,0,0,0,0,15,GODAGE I
ESET-462,3,4,3,0,2,12,2.5,0,0,0,1,0,13,GODAGE I
IDIS-240,20,32,1,0,0,53,3.358,0,0,0,0,0,53,VESTAL E
IDIS-240,23,27,1,0,2,53,3.301,0,0,0,1,0,54,VESTAL E
IDIS-240,18,35,0,0,1,54,3.277,0,0,0,0,0,54,VESTAL E
IDIS-240,24,45,0,0,1,70,3.3,0,0,0,0,0,70,VESTAL E
IDIS-330,15,22,2,0,0,39,3.333,0,0,0,1,0,40,CLARK N
IDIS-330,20,18,3,1,0,42,3.357,0,0,0,0,0,42,CLARK N
IDIS-330,20,25,0,0,0,45,3.444,0,0,0,0,0,45,JOHNSON J
IDIS-330,21,19,0,0,1,41,3.439,0,0,0,1,0,42,BORSH R
IDIS-340,35,6,0,1,0,42,3.785,0,0,0,0,0,42,HOLLIS T
IDIS-340,28,5,1,0,0,34,3.794,0,0,0,0,0,34,REY D
IDIS-340,40,2,0,0,0,42,3.952,0,0,0,0,0,42,HOLLIS T
IDIS-340,38,1,0,0,1,40,3.875,0,0,0,0,0,40,HOLLIS T
IDIS-343,7,24,13,0,0,44,2.863,0,0,0,3,0,47,CAVDAR B
IDIS-343,15,26,9,3,0,53,3,0,0,0,0,0,53,CAVDAR B
IDIS-343,7,21,11,6,1,46,2.586,0,0,0,2,0,48,CAPAR I
IDIS-344,16,14,1,0,0,31,3.483,0,0,0,0,0,31,JOHNSON M
IDIS-344,7,16,2,0,1,26,3.076,0,0,0,0,0,26,JOHNSON M
IDIS-344,7,5,2,1,0,15,3.2,0,0,0,0,0,15,ZOU N
IDIS-344,12,13,2,0,0,27,3.37,0,0,0,1,0,28,ZOU N
IDIS-344,13,9,3,0,0,25,3.4,0,0,0,0,0,25,ZOU N
IDIS-344,8,10,3,0,0,21,3.238,0,0,0,2,0,23,ZOU N
IDIS-364,7,22,2,0,0,31,3.161,0,0,0,0,0,31,JOHNSON M
IDIS-364,12,17,1,0,0,30,3.366,0,0,0,0,0,30,JOHNSON M
IDIS-424,16,29,3,0,0,48,3.27,0,0,0,0,0,48,IAKOVOU E
IDIS-424,18,15,17,0,0,50,3.02,0,0,0,0,0,50,CHANG Y
IDIS-424,7,11,15,0,0,33,2.757,0,0,0,0,0,33,CHANG Y
IDIS-433,7,25,11,0,0,43,2.906,0,0,0,0,0,43,BORSH R
IDIS-433,15,26,9,0,0,50,3.12,0,0,0,0,0,50,BORSH R
IDIS-433,22,24,6,0,0,52,3.307,0,0,0,0,0,52,BORSH R
IDIS-434,10,25,10,0,0,45,3,0,0,0,0,0,45,NEPAL B
IDIS-434,11,19,11,0,0,41,3,0,0,0,0,0,41,NIE X
IDIS-434,1,24,12,0,0,37,2.702,0,0,0,2,0,39,NIE X
IDIS-443,10,19,1,0,0,30,3.3,0,0,0,0,0,30,NAGARATHNAM B
IDIS-443,25,5,0,0,0,30,3.833,0,0,0,0,0,30,NAGARATHNAM B
IDIS-444,19,5,0,0,0,24,3.791,0,0,0,0,0,24,NATARAJARATHINAM M
IDIS-444,36,3,0,0,0,39,3.923,0,0,0,0,0,39,CLARK N
IDIS-444,22,3,0,0,0,25,3.88,0,0,0,0,0,25,CLARK N
IDIS-444,28,10,0,0,0,38,3.736,0,0,0,0,0,38,VESTAL E
IDIS-450,6,5,4,0,0,15,3.133,0,0,0,0,0,15,CAPAR I
IDIS-450,3,4,0,0,0,7,3.428,0,0,0,0,0,7,CAPAR I
IDIS-450,1,3,2,1,0,7,2.571,0,0,0,0,0,7,CAPAR I
IDIS-450,2,6,4,0,0,12,2.833,0,0,0,0,0,12,CAPAR I
IDIS-450,2,3,2,0,0,7,3,0,0,0,1,0,8,CAPAR I
IDIS-450,4,10,0,0,0,14,3.285,0,0,0,0,0,14,UFODIKE C
IDIS-450,7,6,1,0,0,14,3.428,0,0,0,0,0,14,UFODIKE C
IDIS-450,6,9,0,0,0,15,3.4,0,0,0,0,0,15,UFODIKE C
IDIS-450,6,8,0,0,1,15,3.2,0,0,0,0,0,15,UFODIKE C
IDIS-450,8,5,1,0,0,14,3.5,0,0,0,0,0,14,UFODIKE C
IDIS-450,6,5,3,0,0,14,3.214,0,0,0,0,0,14,UFODIKE C
IDIS-464,14,18,7,0,0,39,3.179,0,0,0,0,0,39,JOHNSON J
IDIS-464,14,14,6,1,0,35,3.171,0,0,0,0,0,35,JOHNSON J
IDIS-464,15,17,4,0,0,36,3.305,0,0,0,0,0,36,JOHNSON J
IDIS-650,16,1,0,0,0,17,3.941,0,0,0,0,0,17,REY D
